,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
150,64,8.0,4.622553035,"[1, 0, 1, 1, 0]",25,512,13
151,128,8.0,4.688476508,"[1, 0, 1, 1, 0]",25,512,13
152,256,8.0,4.78408565,"[1, 0, 1, 1, 0]",25,512,13
153,512,8.0,4.944474754,"[1, 0, 1, 1, 0]",25,512,13
154,0,7.0,4.985597808,"[1, 1, 0, 1, 0]",25,512,14
155,1,7.0,4.986254218,"[1, 1, 0, 1, 0]",25,512,14
156,2,7.0,5.028596139,"[1, 1, 0, 1, 0]",25,512,14
157,4,7.0,5.0686316499999995,"[1, 1, 0, 1, 0]",25,512,14
158,8,7.0,5.110623189,"[1, 1, 0, 1, 0]",25,512,14
159,16,7.0,5.153581124,"[1, 1, 0, 1, 0]",25,512,14
160,32,7.0,5.200707135,"[1, 1, 0, 1, 0]",25,512,14
161,64,7.0,5.260259589,"[1, 1, 0, 1, 0]",25,512,14
162,128,7.0,5.334506933,"[1, 1, 0, 1, 0]",25,512,14
163,256,7.0,5.437773676,"[1, 1, 0, 1, 0]",25,512,14
164,512,7.0,5.6021144099999995,"[1, 1, 0, 1, 0]",25,512,14
165,0,6.0,5.646860125,"[1, 1, 1, 0, 0]",25,512,15
166,1,6.0,5.647526539,"[1, 1, 1, 0, 0]",25,512,15
167,2,6.0,5.690501115,"[1, 1, 1, 0, 0]",25,512,15
168,4,6.0,5.7345393719999995,"[1, 1, 1, 0, 0]",25,512,15
169,8,6.0,5.778228317,"[1, 1, 1, 0, 0]",25,512,15
170,16,6.0,5.8244194149999995,"[1, 1, 1, 0, 0]",25,512,15
171,32,6.0,5.87408438,"[1, 1, 1, 0, 0]",25,512,15
172,64,6.0,5.933235537,"[1, 1, 1, 0, 0]",25,512,15
173,128,6.0,6.008845678,"[1, 1, 1, 0, 0]",25,512,15
174,256,6.0,6.115186191,"[1, 1, 1, 0, 0]",25,512,15
175,512,6.0,6.292098939,"[1, 1, 1, 0, 0]",25,512,15
176,0,0.0,6.339559431,"[1, 1, 1, 1, 1]",25,512,16
177,1,0.0,6.34025487,"[1, 1, 1, 1, 1]",25,512,16
178,2,0.0,6.3887481699999995,"[1, 1, 1, 1, 1]",25,512,16
179,4,0.0,6.436130018,"[1, 1, 1, 1, 1]",25,512,16
180,8,0.0,6.4851585389999995,"[1, 1, 1, 1, 1]",25,512,16
181,16,0.0,6.536534957,"[1, 1, 1, 1, 1]",25,512,16
182,32,0.0,6.591044104999999,"[1, 1, 1, 1, 1]",25,512,16
183,64,0.0,6.655200071,"[1, 1, 1, 1, 1]",25,512,16
184,128,0.0,6.736715639000001,"[1, 1, 1, 1, 1]",25,512,16
185,256,0.0,6.854035187,"[1, 1, 1, 1, 1]",25,512,16
186,512,0.0,7.040788655999999,"[1, 1, 1, 1, 1]",25,512,16
187,0,6.0,7.088661255000001,"[1, 1, 1, 0, 0]",25,512,17
188,1,6.0,7.089390953,"[1, 1, 1, 0, 0]",25,512,17
189,2,6.0,7.138299881999999,"[1, 1, 1, 0, 0]",25,512,17
190,4,6.0,7.185655137,"[1, 1, 1, 0, 0]",25,512,17
191,8,6.0,7.2351142479999995,"[1, 1, 1, 0, 0]",25,512,17
192,16,6.0,7.294512325,"[1, 1, 1, 0, 0]",25,512,17
193,32,6.0,7.351381916,"[1, 1, 1, 0, 0]",25,512,17
194,64,6.0,7.417910817,"[1, 1, 1, 0, 0]",25,512,17
195,128,6.0,7.501018347,"[1, 1, 1, 0, 0]",25,512,17
196,256,6.0,7.6220957910000005,"[1, 1, 1, 0, 0]",25,512,17
197,512,6.0,7.823629013000001,"[1, 1, 1, 0, 0]",25,512,17
198,0,10.0,7.875672563999999,"[0, 1, 1, 0, 1]",25,512,18
199,1,10.0,7.876794778,"[0, 1, 1, 0, 1]",25,512,18
200,2,10.0,7.932288095,"[0, 1, 1, 0, 1]",25,512,18
201,4,10.0,7.9824556289999995,"[0, 1, 1, 0, 1]",25,512,18
202,8,10.0,8.033524711999998,"[0, 1, 1, 0, 1]",25,512,18
203,16,10.0,8.086902053,"[0, 1, 1, 0, 1]",25,512,18
204,32,10.0,8.145296228,"[0, 1, 1, 0, 1]",25,512,18
205,64,10.0,8.214580691999998,"[0, 1, 1, 0, 1]",25,512,18
206,128,10.0,8.302266336999999,"[0, 1, 1, 0, 1]",25,512,18
207,256,10.0,8.428146517999998,"[0, 1, 1, 0, 1]",25,512,18
208,512,10.0,8.632135977,"[0, 1, 1, 0, 1]",25,512,18
209,0,4.0,8.687734895999998,"[1, 0, 1, 0, 0]",25,512,19
210,1,4.0,8.688515876,"[1, 0, 1, 0, 0]",25,512,19
211,2,8.0,8.742147193000001,"[1, 0, 1, 1, 0]",25,512,19
212,4,8.0,8.796805246999998,"[1, 0, 1, 1, 0]",25,512,19
213,8,8.0,8.853492139,"[1, 0, 1, 1, 0]",25,512,19
214,16,8.0,8.911383978,"[1, 0, 1, 1, 0]",25,512,19
215,32,8.0,8.974152517,"[1, 0, 1, 1, 0]",25,512,19
216,64,8.0,9.050076004000001,"[1, 0, 1, 1, 0]",25,512,19
217,128,8.0,9.143266236999999,"[1, 0, 1, 1, 0]",25,512,19
218,256,8.0,9.275970856,"[1, 0, 1, 1, 0]",25,512,19
219,512,8.0,9.491840915000001,"[1, 0, 1, 1, 0]",25,512,19
220,0,6.0,9.548648881999998,"[1, 1, 1, 0, 0]",25,512,20
221,1,6.0,9.549471016999998,"[1, 1, 1, 0, 0]",25,512,20
222,2,6.0,9.60614877,"[1, 1, 1, 0, 0]",25,512,20
223,4,6.0,9.6621123,"[1, 1, 1, 0, 0]",25,512,20
224,8,6.0,9.719056868,"[1, 1, 1, 0, 0]",25,512,20
225,16,6.0,9.778675958000001,"[1, 1, 1, 0, 0]",25,512,20
226,32,6.0,9.842831151999999,"[1, 1, 1, 0, 0]",25,512,20
227,64,6.0,9.91963922,"[1, 1, 1, 0, 0]",25,512,20
228,128,6.0,10.016239938999998,"[1, 1, 1, 0, 0]",25,512,20
229,256,6.0,10.154908684999999,"[1, 1, 1, 0, 0]",25,512,20
230,512,6.0,10.382395636999998,"[1, 1, 1, 0, 0]",25,512,20
231,0,0.0,10.440444947,"[1, 1, 1, 1, 0]",25,512,21
232,1,9.0,10.441311556999999,"[0, 1, 1, 1, 0]",25,512,21
233,2,9.0,10.498912186999998,"[0, 1, 1, 1, 0]",25,512,21
234,4,9.0,10.569959001,"[0, 1, 1, 1, 0]",25,512,21
235,8,9.0,10.630227956999999,"[0, 1, 1, 1, 0]",25,512,21
236,16,9.0,10.693919865000002,"[0, 1, 1, 1, 0]",25,512,21
237,32,9.0,10.762770624999998,"[0, 1, 1, 1, 0]",25,512,21
238,64,9.0,10.842546228,"[0, 1, 1, 1, 0]",25,512,21
239,128,9.0,10.943194388999999,"[0, 1, 1, 1, 0]",25,512,21
240,256,9.0,11.085718565,"[0, 1, 1, 1, 0]",25,512,21
241,512,9.0,11.322928476000001,"[0, 1, 1, 1, 0]",25,512,21
242,0,0.0,11.384907560999999,"[0, 0, 0, 0, 0]",25,512,22
243,1,3.0,11.386055714000001,"[0, 0, 1, 0, 0]",25,512,22
244,2,7.0,11.44854582,"[0, 0, 1, 1, 0]",25,512,22
245,4,9.0,11.508966538,"[0, 1, 1, 1, 0]",25,512,22
246,8,9.0,11.571967266000001,"[0, 1, 1, 1, 0]",25,512,22
247,16,9.0,11.635770961999999,"[0, 1, 1, 1, 0]",25,512,22
248,32,9.0,11.707624238000001,"[0, 1, 1, 1, 0]",25,512,22
249,64,9.0,11.791844396999998,"[0, 1, 1, 1, 0]",25,512,22
250,128,9.0,11.899924408,"[0, 1, 1, 1, 0]",25,512,22
251,256,9.0,12.058034259,"[0, 1, 1, 1, 0]",25,512,22
252,512,9.0,12.311982779000001,"[0, 1, 1, 1, 0]",25,512,22
253,0,0.0,12.376056939000001,"[0, 1, 1, 1, 1]",25,512,23
254,1,0.0,12.377042488,"[0, 1, 1, 1, 1]",25,512,23
255,2,10.0,12.444828531999999,"[0, 1, 1, 0, 1]",25,512,23
256,4,10.0,12.509794804999999,"[0, 1, 1, 0, 1]",25,512,23
257,8,10.0,12.574843251,"[0, 1, 1, 0, 1]",25,512,23
258,16,10.0,12.644171964000002,"[0, 1, 1, 0, 1]",25,512,23
259,32,10.0,12.720302521,"[0, 1, 1, 0, 1]",25,512,23
260,64,10.0,12.808150856000001,"[0, 1, 1, 0, 1]",25,512,23
261,128,10.0,12.919053307999999,"[0, 1, 1, 0, 1]",25,512,23
262,256,10.0,13.079617569,"[0, 1, 1, 0, 1]",25,512,23
263,512,10.0,13.335366443000002,"[0, 1, 1, 0, 1]",25,512,23
264,0,2.0,13.403469778999998,"[0, 1, 0, 0, 0]",25,512,24
265,1,7.0,13.404434124000002,"[0, 1, 0, 0, 1]",25,512,24
266,2,7.0,13.470987604000001,"[0, 1, 0, 0, 1]",25,512,24
267,4,7.0,13.539587893,"[0, 1, 0, 0, 1]",25,512,24
268,8,7.0,13.608055702000001,"[0, 1, 0, 0, 1]",25,512,24
269,16,10.0,13.683550993,"[0, 1, 1, 0, 1]",25,512,24
270,32,10.0,13.766378801999998,"[0, 1, 1, 0, 1]",25,512,24
271,64,10.0,13.858166997000001,"[0, 1, 1, 0, 1]",25,512,24
272,128,10.0,13.977796185999999,"[0, 1, 1, 0, 1]",25,512,24
273,256,10.0,14.145466198000001,"[0, 1, 1, 0, 1]",25,512,24
274,512,10.0,14.410954996000001,"[0, 1, 1, 0, 1]",25,512,24
275,0,0.0,14.481142584,"[1, 0, 0, 1, 1]",25,512,25
276,1,5.0,14.482144548,"[1, 0, 0, 1, 0]",25,512,25
277,2,5.0,14.554496761,"[1, 0, 0, 1, 0]",25,512,25
278,4,8.0,14.625313068,"[1, 0, 1, 1, 0]",25,512,25
279,8,8.0,14.697010183,"[1, 0, 1, 1, 0]",25,512,25
280,16,8.0,14.775947403,"[1, 0, 1, 1, 0]",25,512,25
281,32,8.0,14.857154993000002,"[1, 0, 1, 1, 0]",25,512,25
282,64,8.0,14.951857831000002,"[1, 0, 1, 1, 0]",25,512,25
283,128,8.0,15.073669583000001,"[1, 0, 1, 1, 0]",25,512,25
284,256,8.0,15.249522525,"[1, 0, 1, 1, 0]",25,512,25
285,512,8.0,15.526580187,"[1, 0, 1, 1, 0]",25,512,25
286,0,7.0,8.717200000063485e-05,"[1, 1, 0, 1, 0]",75,512,0
287,1,7.0,0.000285688000001727,"[1, 1, 0, 1, 0]",75,512,0
288,2,7.0,0.07142314100000036,"[1, 1, 0, 1, 0]",75,512,0
289,4,7.0,0.14087778900000103,"[1, 1, 0, 1, 0]",75,512,0
290,8,7.0,0.21274107700000044,"[1, 1, 0, 1, 0]",75,512,0
291,16,7.0,0.28485022499999957,"[1, 1, 0, 1, 0]",75,512,0
292,32,7.0,0.3565638409999998,"[1, 1, 0, 1, 0]",75,512,0
293,64,7.0,0.43318137300000004,"[1, 1, 0, 1, 0]",75,512,0
294,128,7.0,0.5082168419999995,"[1, 1, 0, 1, 0]",75,512,0
295,256,7.0,0.5885030620000009,"[1, 1, 0, 1, 0]",75,512,0
296,512,7.0,0.6801637480000018,"[1, 1, 0, 1, 0]",75,512,0
297,0,0.0,0.7534394129999988,"[1, 0, 0, 0, 1]",75,512,1
298,1,0.0,0.7536851300000009,"[1, 0, 0, 0, 1]",75,512,1
299,2,1.0,0.8267407330000012,"[1, 0, 0, 0, 0]",75,512,1
