,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
214,16,0.0,8.728536985,"[1, 0, 0, 1, 0]",25,512,19
215,32,0.0,8.793277622,"[1, 0, 0, 1, 0]",25,512,19
216,64,0.0,8.865473322,"[1, 0, 0, 1, 0]",25,512,19
217,128,0.0,8.957711822,"[1, 0, 0, 1, 0]",25,512,19
218,256,0.0,9.098103155,"[1, 0, 0, 1, 0]",25,512,19
219,512,0.0,9.317122251999999,"[1, 0, 0, 1, 0]",25,512,19
220,0,6.0,9.373856846,"[0, 0, 0, 0, 0]",25,512,20
221,1,3.0,9.37467725,"[1, 0, 0, 0, 0]",25,512,20
222,2,3.0,9.431196489,"[1, 0, 0, 0, 0]",25,512,20
223,4,3.0,9.488677291,"[1, 0, 0, 0, 0]",25,512,20
224,8,3.0,9.544924813,"[1, 0, 0, 0, 0]",25,512,20
225,16,0.0,9.603569053,"[1, 0, 0, 1, 0]",25,512,20
226,32,0.0,9.66774396,"[1, 0, 0, 1, 0]",25,512,20
227,64,0.0,9.74368978,"[1, 0, 0, 1, 0]",25,512,20
228,128,0.0,9.840128286,"[1, 0, 0, 1, 0]",25,512,20
229,256,0.0,9.978619664,"[1, 0, 0, 1, 0]",25,512,20
230,512,0.0,10.201352568999999,"[1, 0, 0, 1, 0]",25,512,20
231,0,2.0,10.259862299,"[0, 1, 0, 0, 1]",25,512,21
232,1,0.0,10.26068689,"[0, 1, 1, 0, 1]",25,512,21
233,2,0.0,10.318190332,"[0, 1, 1, 0, 1]",25,512,21
234,4,0.0,10.375389916,"[0, 1, 1, 0, 1]",25,512,21
235,8,0.0,10.437556733,"[0, 1, 1, 0, 1]",25,512,21
236,16,0.0,10.500552004,"[0, 1, 1, 0, 1]",25,512,21
237,32,0.0,10.567784434,"[0, 1, 1, 0, 1]",25,512,21
238,64,0.0,10.647770702999999,"[0, 1, 1, 0, 1]",25,512,21
239,128,0.0,10.74860795,"[0, 1, 1, 0, 1]",25,512,21
240,256,0.0,10.893877934,"[0, 1, 1, 0, 1]",25,512,21
241,512,0.0,11.129781054,"[0, 1, 1, 0, 1]",25,512,21
242,0,2.0,11.190999791,"[0, 0, 1, 0, 1]",25,512,22
243,1,2.0,11.191870201,"[0, 0, 1, 0, 1]",25,512,22
244,2,2.0,11.254783238,"[0, 0, 1, 0, 1]",25,512,22
245,4,0.0,11.314976463,"[0, 1, 1, 0, 1]",25,512,22
246,8,0.0,11.375447459,"[0, 1, 1, 0, 1]",25,512,22
247,16,0.0,11.440684661,"[0, 1, 1, 0, 1]",25,512,22
248,32,0.0,11.511920704,"[0, 1, 1, 0, 1]",25,512,22
249,64,0.0,11.593296312,"[0, 1, 1, 0, 1]",25,512,22
250,128,0.0,11.69919738,"[0, 1, 1, 0, 1]",25,512,22
251,256,0.0,11.851345757,"[0, 1, 1, 0, 1]",25,512,22
252,512,0.0,12.108891941,"[0, 1, 1, 0, 1]",25,512,22
253,0,0.0,12.17072858,"[1, 0, 0, 1, 0]",25,512,23
254,1,0.0,12.171607703,"[1, 0, 0, 1, 0]",25,512,23
255,2,0.0,12.235954551999999,"[1, 0, 0, 1, 0]",25,512,23
256,4,0.0,12.299898785,"[1, 0, 0, 1, 0]",25,512,23
257,8,0.0,12.363553249,"[1, 0, 0, 1, 0]",25,512,23
258,16,0.0,12.432745623,"[1, 0, 0, 1, 0]",25,512,23
259,32,0.0,12.507756584,"[1, 0, 0, 1, 0]",25,512,23
260,64,0.0,12.59324606,"[1, 0, 0, 1, 0]",25,512,23
261,128,0.0,12.715184713,"[1, 0, 0, 1, 0]",25,512,23
262,256,0.0,12.871739867,"[1, 0, 0, 1, 0]",25,512,23
263,512,0.0,13.126573787,"[1, 0, 0, 1, 0]",25,512,23
264,0,3.0,13.192280114999999,"[0, 1, 0, 1, 1]",25,512,24
265,1,3.0,13.193222807,"[0, 1, 0, 1, 1]",25,512,24
266,2,3.0,13.261630396,"[0, 1, 0, 1, 1]",25,512,24
267,4,3.0,13.328343208,"[0, 1, 0, 1, 1]",25,512,24
268,8,3.0,13.39500002,"[0, 1, 0, 1, 1]",25,512,24
269,16,0.0,13.465360079,"[0, 1, 1, 0, 1]",25,512,24
270,32,0.0,13.541195026,"[0, 1, 1, 0, 1]",25,512,24
